TestNumber,NumClients,MessageSize(Bytes),Duration(Sec),LatencyDruation(Sec),MessagesSent,Throughput(MegaBits/Sec),LatencyMessagesSent,MinLatency(MS),MaxLatency(MS),MedianLatency(MS),1PercentileLatency,99PercentileLatency,25PercentileLatency,75PercentileLatency,AverageLatency(MS),TestNumber,JVMMedian,WholeSysMedian
1,2,256,10,1,6524179,1274.2537,148654,0,45,0,0,1,0,1,0.36484724,1,200.8,7.3
2,4,1024,10,1,5252482,4103.5015,140338,0,206,0,0,1,0,1,0.40896976,2,253.7,11.0
3,8,8192,10,1,727659,4547.8687,53939,0,43,1,0,4,1,1,1.1967407,3,136.8,7.3
4,16,32768,10,1,182672,4566.8,14452,0,226,6,1,45,3,11,8.761902,4,114.9,5.8
5,32,131072,10,1,45717,4571.7,2132,2,629,16,3,406,10,23,33.47045,5,120.8,5.7
6,64,524288,15,2,17144,4571.7334,1705,10,1728,69,17,752,48,104,122.775955,6,136.8,6.9
7,128,512,20,3,21408707,4181.388,1156973,0,934,3,0,237,1,9,13.684618,7,317.6,12.6
8,256,2048,25,4,7157837,4473.648,23249,0,1876,83,2,1269,36,204,181.43349,8,183.8,7.4
9,512,16384,30,5,1097145,4571.4375,23524,0,2936,114,1,2229,12,481,360.81396,9,141.8,5.8
10,1024,65536,35,6,298204,4260.057,2591,5,13030,6568,276,10995,4087,9141,6426.0264,10,142.8,6.3
11,2048,1024,40,7,21163306,4133.458,1097629,0,23215,77,0,2870,19,285,329.3454,11,278.5,12.5
12,2048,65536,40,7,368193,4602.4126,21026,2,9072,509,5,3683,140,1321,843.4584,12,161.7,7.4
13,2048,262144,40,7,90677,4533.85,4854,7,6804,1176,17,4525,549,2476,1568.5186,13,238.7,11.3
