TestNumber,JVMMedian,WholeSysMedian
1,200.8,7.3
2,253.7,11.0
3,136.8,7.3
4,114.9,5.8
5,120.8,5.7
6,136.8,6.9
7,317.6,12.6
8,183.8,7.4
9,141.8,5.8
10,142.8,6.3
11,278.5,12.5
12,161.7,7.4
13,238.7,11.3
