TestNumber,NumClients,MessageSize(Bytes),Duration(Sec),LatencyDruation(Sec),MessagesSent,Throughput(MegaBits/Sec),LatencyMessagesSent,MinLatency(MS),MaxLatency(MS),MedianLatency(MS),1PercentileLatency,99PercentileLatency,25PercentileLatency,75PercentileLatency,AverageLatency(MS),TestNumber,JVMMedian,WholeSysMedian
1,2,65536,10,1,42811,2140.55,2401,1,37,2,1,7,2,3,2.5980842,1,47.9,2.3
2,4,65536,10,1,86890,4344.5,4388,1,54,3,1,9,2,3,2.8418415,2,100.9,5.0
3,8,65536,10,1,91402,4570.1,6235,1,134,4,1,13,2,5,4.299599,3,116.9,5.2
4,16,65536,10,1,91398,4569.9,7063,1,253,7,2,91,4,11,10.423474,4,110.9,5.6
5,32,65536,10,1,91398,4569.9,6326,1,660,12,2,236,7,20,20.58299,5,114.9,5.4
6,64,65536,15,2,137024,4567.467,10313,1,896,20,3,484,12,31,38.314846,6,121.8,6.0
7,128,65536,20,3,182620,4565.5,7058,1,1781,33,3,1411,15,117,131.62355,7,125.8,5.7
8,256,65536,25,4,227386,4547.72,1025,7,4276,1572,74,3861,1017,2378,1690.5005,8,136.8,6.0
9,512,65536,30,5,274909,4581.817,6768,1,3158,323,4,2374,48,706,465.74023,9,138.8,5.9
10,1024,65536,35,6,319801,4568.586,9128,1,4753,166,2,3206,18,652,437.40533,10,145.8,6.4
11,2048,65536,40,7,335867,4198.3374,25859,1,54080,336,5,9024,67,1235,1251.4036,11,274.5,12.6
