TestNumber,JVMMedian,WholeSysMedian
1,47.9,2.3
2,100.9,5.0
3,116.9,5.2
4,110.9,5.6
5,114.9,5.4
6,121.8,6.0
7,125.8,5.7
8,136.8,6.0
9,138.8,5.9
10,145.8,6.4
11,274.5,12.6
