TestNumber,JVMMedian,WholeSysMedian
1,51.9,2.4
2,102.9,5.0
3,108.9,5.3
4,112.9,5.5
5,117.9,5.9
6,120.8,5.7
7,134.8,5.8
8,138.8,6.0
9,136.8,5.9
10,143.8,6.5
11,156.7,7.0
