TestNumber,JVMMedian,WholeSysMedian
1,49.9,2.3
2,97.9,4.7
3,108.9,5.3
4,118.8,5.6
5,115.9,5.9
6,121.8,6.0
7,122.8,5.8
8,137.8,6.0
9,141.8,5.9
10,144.8,6.0
11,357.4,15.9
