TestNumber,NumClients,MessageSize(Bytes),Duration(Sec),LatencyDruation(Sec),MessagesSent,Throughput(MegaBits/Sec),LatencyMessagesSent,MinLatency(MS),MaxLatency(MS),MedianLatency(MS),1PercentileLatency,99PercentileLatency,25PercentileLatency,75PercentileLatency,AverageLatency(MS),TestNumber,JVMMedian,WholeSysMedian
1,2,65536,10,1,45025,2251.25,2337,1,34,3,1,7,2,3,2.6632435,1,49.9,2.3
2,4,65536,10,1,82468,4123.4,4367,1,42,3,1,8,2,4,2.9681704,2,97.9,4.7
3,8,65536,10,1,91422,4571.1,5785,1,647,4,1,29,2,5,5.7187552,3,108.9,5.3
4,16,65536,10,1,91384,4569.2,7519,1,453,7,2,93,4,11,10.601809,4,118.8,5.6
5,32,65536,10,1,91402,4570.1,4011,1,622,12,2,252,6,19,22.179756,5,115.9,5.9
6,64,65536,15,2,137051,4568.3667,7310,1,934,18,2,509,11,30,40.504513,6,121.8,6.0
7,128,65536,20,3,182686,4567.15,6787,1,1774,40,3,1492,19,143,132.27405,7,122.8,5.8
8,256,65536,25,4,228441,4568.82,8591,1,2702,42,3,1838,14,245,207.73961,8,137.8,6.0
9,512,65536,30,5,262495,4374.9165,1107,2,6220,1864,17,5096,1044,2512,1927.3207,9,141.8,5.9
10,1024,65536,35,6,318095,4544.2144,1588,5,5126,2013,311,4654,1317,2868,2123.0566,10,144.8,6.0
11,2048,65536,40,7,342617,4282.7124,38832,2,50319,372,8,5687,77,811,822.66565,11,357.4,15.9
