TestNumber,NumClients,MessageSize(Bytes),Duration(Sec),LatencyDruation(Sec),MessagesSent,Throughput(MegaBits/Sec),LatencyMessagesSent,MinLatency(MS),MaxLatency(MS),MedianLatency(MS),1PercentileLatency,99PercentileLatency,25PercentileLatency,75PercentileLatency,AverageLatency(MS),TestNumber,JVMMedian,WholeSysMedian
1,2,65536,10,1,42618,2130.9,2418,1,27,2,1,9,2,3,2.6327543,1,45.9,2.3
2,4,65536,10,1,82404,4120.2,4415,1,58,3,1,10,2,4,2.9793885,2,91.9,4.5
3,8,65536,10,1,91412,4570.6,5963,1,224,4,1,40,3,6,6.951199,3,110.9,5.3
4,16,65536,10,1,91409,4570.45,6805,1,241,7,2,95,5,12,10.903159,4,111.9,5.6
5,32,65536,10,1,91422,4571.1,5153,1,664,13,2,298,7,22,23.421114,5,116.9,5.7
6,64,65536,15,2,137025,4567.5,9252,1,715,20,3,447,12,33,40.529076,6,121.8,5.6
7,128,65536,20,3,182714,4567.85,14247,1,1531,26,4,688,17,43,67.163895,7,129.8,5.9
8,256,65536,25,4,228659,4573.18,3182,2,3657,123,3,2738,21,335,398.00723,8,138.8,5.9
9,512,65536,30,5,252449,4207.4834,1542,13,8153,2938,249,5829,1957,4120,3066.142,9,138.8,6.1
10,1024,65536,35,6,321002,4585.7427,3455,2,5107,697,3,3412,259,1293,877.43414,10,143.8,6.3
11,2048,65536,40,7,345656,4320.7,35863,1,44180,369,5,4991,56,958,844.6822,11,273.6,12.6
