TestNumber,NumClients,MessageSize(Bytes),Duration(Sec),LatencyDruation(Sec),MessagesSent,Throughput(MegaBits/Sec),LatencyMessagesSent,MinLatency(MS),MaxLatency(MS),MedianLatency(MS),1PercentileLatency,99PercentileLatency,25PercentileLatency,75PercentileLatency,AverageLatency(MS),TestNumber,JVMMedian,WholeSysMedian
1,2,65536,10,1,45626,2281.3,2355,1,30,2,1,5,2,3,2.4951167,1,49.9,2.6
2,4,65536,10,1,85089,4254.45,4482,1,53,3,1,7,2,3,2.8174922,2,98.9,4.7
3,8,65536,10,1,91423,4571.15,6986,1,68,4,1,15,3,6,4.7699685,3,111.9,5.3
4,16,65536,10,1,91375,4568.75,7152,1,254,7,2,100,4,11,9.990072,4,111.9,5.4
5,32,65536,10,1,91404,4570.2,5087,1,656,12,2,220,7,19,21.04777,5,111.9,5.7
6,64,65536,15,2,137053,4568.433,9653,1,660,19,3,417,11,29,37.288925,6,117.8,5.8
7,128,65536,20,3,179073,4476.825,1037,2,2341,666,4,1982,317,1045,709.4484,7,129.8,5.9
8,256,65536,25,4,223599,4471.98,820,7,4375,1773,73,4066,1106,2532,1846.3062,8,138.8,5.9
9,512,65536,30,5,256917,4281.95,1277,2,9464,1808,47,5244,1125,2670,1942.621,9,140.9,6.0
10,1024,65536,35,6,306163,4373.7573,19964,1,7721,249,5,3565,30,929,703.0512,10,141.8,6.4
11,2048,65536,40,7,367090,4588.625,1870,6,6985,1928,104,6398,931,3303,2227.239,11,154.8,6.5
