TestNumber,JVMMedian,WholeSysMedian
1,49.9,2.6
2,98.9,4.7
3,111.9,5.3
4,111.9,5.4
5,111.9,5.7
6,117.8,5.8
7,129.8,5.9
8,138.8,5.9
9,140.9,6.0
10,141.8,6.4
11,154.8,6.5
