TestNumber,NumClients,MessageSize(Bytes),Duration(Sec),LatencyDruation(Sec),MessagesSent,Throughput(MegaBits/Sec),LatencyMessagesSent,MinLatency(MS),MaxLatency(MS),MedianLatency(MS),1PercentileLatency,99PercentileLatency,25PercentileLatency,75PercentileLatency,AverageLatency(MS)
1,2,256,10,1,6746066,1317.5911,129131,0,45,0,0,1,0,1,0.29320613
2,4,1024,10,1,5504362,4300.2827,140926,0,45,0,0,1,0,1,0.41797823
3,8,8192,10,1,727720,4548.25,57480,0,47,1,0,6,1,1,1.2235734
4,16,32768,10,1,182672,4566.8,14363,1,242,5,1,53,3,9,8.361833
5,32,131072,10,1,45724,4572.4,2573,2,310,17,3,234,10,26,26.471823
6,64,524288,15,2,17145,4572.0,1812,10,1973,75,15,607,49,116,118.92936
7,128,512,20,3,21411293,4181.893,676373,0,1036,3,0,118,1,5,8.664344
8,256,2048,25,4,7123577,4452.236,26500,0,3085,119,4,2077,46,346,288.85687
9,512,16384,30,5,1093404,4555.85,67247,0,4362,30,1,1518,10,224,165.7269
10,1024,65536,35,6,308407,4405.8145,44993,1,9017,219,6,2984,33,485,401.12216
11,2048,1024,40,7,20833954,4069.1316,1396657,0,11876,48,0,4147,10,317,387.35477
12,2048,65536,40,7,367168,4589.6,5181,1,6364,309,4,4858,46,934,796.88745
13,2048,262144,40,7,91570,4578.5,2573,8,7552,1193,12,6176,628,2578,1822.218
