TestNumber,NumClients,MessageSize(Bytes),Duration(Sec),LatencyDruation(Sec),MessagesSent,Throughput(MegaBits/Sec),LatencyMessagesSent,MinLatency(MS),MaxLatency(MS),MedianLatency(MS),1PercentileLatency,99PercentileLatency,25PercentileLatency,75PercentileLatency,AverageLatency(MS)
1,2,65536,10,1,46150,2307.5,2268,1,29,2,1,5,2,3,2.574956
2,4,65536,10,1,82842,4142.1,4411,1,54,3,1,9,2,3,2.9369757
3,8,65536,10,1,91422,4571.1,6514,1,83,4,1,35,3,7,5.823611
4,16,65536,10,1,91392,4569.6,7160,1,274,6,2,92,4,12,11.06271
5,32,65536,10,1,91423,4571.15,5142,1,337,12,2,234,7,20,19.916763
6,64,65536,15,2,137022,4567.4,3435,1,1288,24,3,735,13,51,78.72198
7,128,65536,20,3,182666,4566.65,8412,1,1700,37,3,1257,17,101,113.73526
8,256,65536,25,4,224828,4496.56,857,67,4482,2263,329,4261,1467,3044,2301.4937
9,512,65536,30,5,259711,4328.5166,1306,40,7289,2987,68,6437,1771,4050,2954.1929
10,1024,65536,35,6,305084,4358.343,1856,75,8354,2948,343,7596,1414,4237,3085.4338
11,2048,65536,40,7,360121,4501.5127,23837,1,29923,576,5,4159,68,1328,933.83264
