TestNumber,JVMMedian,WholeSysMedian
1,54.9,2.8
2,93.9,4.7
3,109.9,5.3
5,117.9,5.8
6,121.8,5.9
7,130.8,5.8
9,139.8,6.0
10,142.8,6.3
4,114.9,5.6
8,137.8,6.1
11,195.7,8.5
