TestNumber,NumClients,MessageSize(Bytes),Duration(Sec),LatencyDruation(Sec),MessagesSent,Throughput(MegaBits/Sec),LatencyMessagesSent,MinLatency(MS),MaxLatency(MS),MedianLatency(MS),1PercentileLatency,99PercentileLatency,25PercentileLatency,75PercentileLatency,AverageLatency(MS),TestNumber,JVMMedian,WholeSysMedian
1,2,256,10,1,6653652,1299.5414,149352,0,45,0,0,1,0,1,0.29021373,1,200.7,7.9
2,4,1024,10,1,5369543,4194.9556,156125,0,44,0,0,1,0,1,0.41944596,2,237.7,10.3
3,8,8192,10,1,727781,4548.6313,53951,0,57,1,0,7,1,2,1.4100387,3,134.8,6.6
4,16,32768,10,1,182660,4566.5,14244,0,247,6,1,43,3,10,8.663297,4,109.9,5.5
5,32,131072,10,1,45709,4570.9,3216,2,644,17,4,239,11,25,26.892723,5,119.8,6.1
6,64,524288,15,2,fail,fail,fail,fail,fail,fail,fail,6,0.0,0.0
7,128,512,20,3,21454892,4190.4087,91228,0,1048,18,0,285,3,42,34.427567,7,298.6,11.7
8,256,2048,25,4,7151904,4469.94,701407,0,4584,18,1,699,9,37,65.709076,8,179.7,7.6
9,512,16384,30,5,1077489,4489.5376,3243,1,5468,1304,7,4548,601,2408,1539.2421,9,143.8,5.9
10,1024,65536,35,6,312941,4470.586,2724,65,14324,5373,304,12131,2994,8210,5571.634,10,141.8,6.4
11,2048,1024,40,7,28359944,5539.052,92358,0,5168,107,1,3186,28,440,373.10526,11,826.6,37.0
12,2048,65536,40,7,356638,4457.975,4096,4,16763,6639,235,15123,3925,11003,7250.007,12,151.7,6.6
13,2048,262144,40,7,80264,4013.2,546,412,14215,10458,944,13344,8156,11947,9893.634,13,248.2,12.1
