TestNumber,JVMMedian,WholeSysMedian
1,200.7,7.9
2,231.7,10.5
3,140.8,7.2
4,113.9,5.6
5,120.8,6.1
6,139.8,7.2
7,310.6,12.1
8,185.8,7.2
9,142.8,6.2
10,145.8,6.3
11,241.6,9.9
12,460.2,16.0
13,235.6,11.0
