TestNumber,JVMMedian,WholeSysMedian
1,199.7,7.5
2,266.7,11.5
3,138.8,6.8
4,115.9,5.6
5,123.8,6.2
6,136.8,6.7
7,340.6,14.1
8,177.8,6.9
9,144.8,5.8
10,144.8,5.9
11,276.6,12.4
12,160.7,7.3
13,236.6,11.4
