TestNumber,NumClients,MessageSize(Bytes),Duration(Sec),LatencyDruation(Sec),MessagesSent,Throughput(MegaBits/Sec),LatencyMessagesSent,MinLatency(MS),MaxLatency(MS),MedianLatency(MS),1PercentileLatency,99PercentileLatency,25PercentileLatency,75PercentileLatency,AverageLatency(MS),TestNumber,JVMMedian,WholeSysMedian
1,2,65536,10,1,43008,2150.4,2404,1,27,3,1,6,2,3,2.718386,1,45.9,2.3
2,4,65536,10,1,83190,4159.5,4213,1,70,4,1,62,2,7,8.007595,2,94.9,4.3
3,8,65536,10,1,91400,4570.0,6422,1,111,4,1,21,3,5,4.845687,3,107.9,5.6
4,16,65536,10,1,91440,4572.0,6920,1,233,7,2,56,4,11,9.377457,4,110.9,5.4
5,32,65536,10,1,91475,4573.75,1379,1,557,10,1,417,5,26,44.041336,5,119.8,5.5
6,64,65536,15,2,137038,4567.933,12007,1,714,20,3,414,12,31,35.685017,6,120.8,5.8
7,128,65536,20,3,182615,4565.375,1337,2,2328,221,6,1556,86,710,416.08826,7,133.8,5.6
8,256,65536,25,4,227188,4543.76,877,6,4045,1481,75,3932,761,2339,1606.2327,8,136.8,5.8
9,512,65536,30,5,274921,4582.0166,5923,1,4184,254,3,3299,17,800,545.7248,9,136.8,5.9
10,1024,65536,35,6,304953,4356.471,2087,26,9783,3678,266,8474,2087,5412,3784.8376,10,144.8,6.3
11,2048,65536,40,7,1315092,16438.65,2070,46,7167,2796,143,6075,1864,3479,2716.9304,11,953.0,44.8
