TestNumber,JVMMedian,WholeSysMedian
1,45.9,2.3
2,94.9,4.3
3,107.9,5.6
4,110.9,5.4
5,119.8,5.5
6,120.8,5.8
7,133.8,5.6
8,136.8,5.8
9,136.8,5.9
10,144.8,6.3
11,953.0,44.8
