TestNumber,JVMMedian,WholeSysMedian
1,199.8,7.9
2,252.7,10.5
3,141.8,6.8
4,112.9,5.6
5,121.8,6.0
6,136.8,6.8
7,341.6,14.0
8,186.9,7.4
9,141.8,6.1
10,141.8,6.2
11,257.6,11.5
12,660.2,32.2
13,228.6,11.0
