TestNumber,NumClients,MessageSize(Bytes),Duration(Sec),LatencyDruation(Sec),MessagesSent,Throughput(MegaBits/Sec),LatencyMessagesSent,MinLatency(MS),MaxLatency(MS),MedianLatency(MS),1PercentileLatency,99PercentileLatency,25PercentileLatency,75PercentileLatency,AverageLatency(MS),TestNumber,JVMMedian,WholeSysMedian
1,2,256,10,1,6290557,1228.6244,128261,0,45,0,0,1,0,1,0.28509834,1,199.8,7.9
2,4,1024,10,1,5429096,4241.4814,158675,0,45,0,0,1,0,1,0.4359603,2,252.7,10.5
3,8,8192,10,1,727931,4549.569,53673,0,45,1,0,5,1,1,1.158441,3,141.8,6.8
4,16,32768,10,1,182637,4565.925,13875,0,259,6,1,42,3,10,8.549478,4,112.9,5.6
5,32,131072,10,1,45711,4571.1,2905,2,354,16,3,228,11,25,25.798279,5,121.8,6.0
6,64,524288,15,2,17134,4569.067,1735,10,1913,64,16,1003,39,102,121.655334,6,136.8,6.8
7,128,512,20,3,21408541,4181.3555,1024099,0,1489,3,0,221,1,7,10.999455,7,341.6,14.0
8,256,2048,25,4,7119394,4449.621,23022,0,2638,118,6,1927,58,286,244.19269,8,186.9,7.4
9,512,16384,30,5,1089877,4541.1543,22170,0,3645,37,1,2298,11,600,413.90298,9,141.8,6.1
10,1024,65536,35,6,285037,4071.957,2842,5,11008,5693,185,9374,3346,6997,5103.2437,10,141.8,6.2
11,2048,1024,40,7,22306378,4356.7144,2693733,0,16427,57,1,3147,15,487,403.4681,11,257.6,11.5
12,2048,65536,40,7,1094565,13682.0625,1894,75,7298,1867,180,5929,1359,2871,2142.946,12,660.2,32.2
13,2048,262144,40,7,91463,4573.15,2696,9,15119,1377,16,6735,798,3977,2232.767,13,228.6,11.0
