TestNumber,JVMMedian,WholeSysMedian
1,51.9,2.6
2,94.9,4.3
3,110.9,5.2
4,111.9,5.6
5,114.9,5.9
11,158.7,7.1
6,121.8,5.8
7,126.8,5.8
8,135.8,5.9
9,138.8,5.7
10,142.8,6.1
