TestNumber,NumClients,MessageSize(Bytes),Duration(Sec),LatencyDruation(Sec),MessagesSent,Throughput(MegaBits/Sec),LatencyMessagesSent,MinLatency(MS),MaxLatency(MS),MedianLatency(MS),1PercentileLatency,99PercentileLatency,25PercentileLatency,75PercentileLatency,AverageLatency(MS),TestNumber,JVMMedian,WholeSysMedian
1,2,65536,10,1,45847,2292.35,2408,1,34,2,1,5,2,3,2.4825583,1,51.9,2.6
2,4,65536,10,1,81147,4057.35,4224,1,54,3,1,9,2,3,2.9621212,2,94.9,4.3
3,8,65536,10,1,91413,4570.65,7546,1,230,4,1,19,2,5,4.816194,3,110.9,5.2
4,16,65536,10,1,91380,4569.0,6871,1,243,7,2,109,4,11,10.761898,4,111.9,5.6
5,32,65536,10,1,91440,4572.0,5496,1,660,11,2,222,7,17,18.891376,5,114.9,5.9
6,64,65536,15,2,137043,4568.1,8260,1,887,18,3,452,11,29,41.761864,11,158.7,7.1
7,128,65536,20,3,182686,4567.15,12741,1,1751,29,3,1277,17,48,89.60537,6,121.8,5.8
8,256,65536,25,4,228293,4565.86,1582,1,4113,1010,4,3994,352,1952,1258.3003,7,126.8,5.8
9,512,65536,30,5,273858,4564.3,18285,1,3754,45,5,2007,23,275,237.63281,8,135.8,5.9
10,1024,65536,35,6,318963,4556.6143,1542,2,5716,1151,3,5172,554,2082,1508.9352,9,138.8,5.7
11,2048,65536,40,7,366943,4586.7876,1592,33,6997,1984,247,5852,1113,3166,2253.3423,10,142.8,6.1
