TestNumber,NumClients,MessageSize(Bytes),Duration(Sec),LatencyDruation(Sec),MessagesSent,Throughput(MegaBits/Sec),LatencyMessagesSent,MinLatency(MS),MaxLatency(MS),MedianLatency(MS),1PercentileLatency,99PercentileLatency,25PercentileLatency,75PercentileLatency,AverageLatency(MS)
1,2,256,10,1,6189561,1208.8987,146325,0,45,0,0,1,0,1,0.26834786
2,4,1024,10,1,5268439,4115.968,153398,0,45,0,0,1,0,1,0.43351933
3,8,8192,10,1,727775,4548.5938,54611,0,45,1,0,5,1,1,1.254674
4,16,32768,10,1,182677,4566.925,15208,0,264,6,1,31,3,10,8.388742
5,32,131072,10,1,45719,4571.9,2463,2,393,17,4,250,10,26,27.274868
6,64,524288,15,2,17140,4570.6665,1730,9,1622,68,14,881,40,103,120.109245
7,128,512,20,3,21450163,4189.4854,176234,0,805,2,0,221,1,18,20.019497
8,256,2048,25,4,7126194,4453.871,20948,0,1980,84,2,1317,37,193,181.67496
9,512,16384,30,5,962999,4012.4958,3499,2,5777,647,24,3534,269,1358,910.7831
10,1024,65536,35,6,316364,4519.486,2393,7,7110,3702,290,5727,2116,4453,3308.4863
11,2048,1024,40,7,21191278,4138.9214,902672,0,7616,45,1,3078,12,305,317.49225
12,2048,65536,40,7,357520,4469.0,1590,6,8319,2786,285,6539,1818,3737,2891.7295
13,2048,262144,40,7,89646,4482.3,6756,9,9699,1709,23,5311,690,2956,1936.7174
