TestNumber,JVMMedian,WholeSysMedian
1,200.8,7.5
2,236.7,10.4
3,143.8,6.8
4,116.9,6.0
5,115.9,5.5
6,135.8,6.9
7,312.6,12.4
8,185.8,7.3
9,147.8,6.2
10,144.8,6.2
11,247.7,10.4
12,157.7,7.1
13,238.6,11.2
