TestNumber,NumClients,MessageSize(Bytes),Duration(Sec),LatencyDruation(Sec),MessagesSent,Throughput(MegaBits/Sec),LatencyMessagesSent,MinLatency(MS),MaxLatency(MS),MedianLatency(MS),1PercentileLatency,99PercentileLatency,25PercentileLatency,75PercentileLatency,AverageLatency(MS),TestNumber,JVMMedian,WholeSysMedian
1,2,256,10,1,6615782,1292.1449,143154,0,44,0,0,1,0,1,0.29139948,1,200.7,7.7
2,4,1024,10,1,5291348,4133.8657,147834,0,49,0,0,1,0,1,0.43050313,2,248.7,10.5
3,8,8192,10,1,727711,4548.194,57774,0,47,1,0,9,1,3,2.0903175,3,117.9,5.6
4,16,32768,10,1,182708,4567.7,14123,0,231,5,1,42,3,9,7.987892,4,116.9,5.7
5,32,131072,10,1,45719,4571.9,1686,2,664,15,3,444,10,24,37.265125,5,119.8,5.8
6,64,524288,15,2,17135,4569.3335,1739,10,1227,65,15,656,41,113,114.963196,6,136.8,6.8
7,128,512,20,3,21428253,4185.2056,1296699,0,661,3,0,88,1,6,7.1825776,7,312.6,12.6
8,256,2048,25,4,7159414,4474.634,44906,0,1894,33,1,1204,6,134,128.32149,8,185.8,7.2
9,512,16384,30,5,1055832,4399.3,6579,0,5016,696,1,3871,111,1853,1061.8289,9,146.8,6.0
10,1024,65536,35,6,313090,4472.7144,1254,64,7040,2133,153,5454,1504,3113,2273.2114,10,144.8,6.5
11,2048,1024,40,7,21628980,4224.41,1713427,0,15686,62,1,4667,14,453,475.03467,11,270.6,11.6
12,2048,65536,40,7,336191,4202.3877,2435,60,13387,5251,186,11142,2985,7769,5345.841,12,154.8,7.0
13,2048,262144,40,7,89082,4454.1,5778,4,12945,2414,12,9754,552,7435,3650.6057,13,235.6,11.3
