TestNumber,NumClients,MessageSize(Bytes),Duration(Sec),LatencyDruation(Sec),MessagesSent,Throughput(MegaBits/Sec),LatencyMessagesSent,MinLatency(MS),MaxLatency(MS),MedianLatency(MS),1PercentileLatency,99PercentileLatency,25PercentileLatency,75PercentileLatency,AverageLatency(MS)
1,2,256,10,1,6615782,1292.1449,143154,0,44,0,0,1,0,1,0.29139948
2,4,1024,10,1,5291348,4133.8657,147834,0,49,0,0,1,0,1,0.43050313
3,8,8192,10,1,727711,4548.194,57774,0,47,1,0,9,1,3,2.0903175
4,16,32768,10,1,182708,4567.7,14123,0,231,5,1,42,3,9,7.987892
5,32,131072,10,1,45719,4571.9,1686,2,664,15,3,444,10,24,37.265125
6,64,524288,15,2,17135,4569.3335,1739,10,1227,65,15,656,41,113,114.963196
7,128,512,20,3,21428253,4185.2056,1296699,0,661,3,0,88,1,6,7.1825776
8,256,2048,25,4,7159414,4474.634,44906,0,1894,33,1,1204,6,134,128.32149
9,512,16384,30,5,1055832,4399.3,6579,0,5016,696,1,3871,111,1853,1061.8289
10,1024,65536,35,6,313090,4472.7144,1254,64,7040,2133,153,5454,1504,3113,2273.2114
11,2048,1024,40,7,21628980,4224.41,1713427,0,15686,62,1,4667,14,453,475.03467
12,2048,65536,40,7,336191,4202.3877,2435,60,13387,5251,186,11142,2985,7769,5345.841
13,2048,262144,40,7,89082,4454.1,5778,4,12945,2414,12,9754,552,7435,3650.6057
