TestNumber,NumClients,MessageSize(Bytes),Duration(Sec),LatencyDruation(Sec),MessagesSent,Throughput(MegaBits/Sec),LatencyMessagesSent,MinLatency(MS),MaxLatency(MS),MedianLatency(MS),1PercentileLatency,99PercentileLatency,25PercentileLatency,75PercentileLatency,AverageLatency(MS)
1,2,256,10,1,7200635,1406.374,157444,0,45,0,0,6,0,1,0.40756714
2,4,1024,10,1,5485484,4285.534,142750,0,51,0,0,2,0,1,0.4660105
3,8,8192,10,1,727605,4547.5312,60019,0,46,1,0,7,1,2,1.6753528
4,16,32768,10,1,182654,4566.35,13502,0,256,5,1,48,3,10,9.010295
5,32,131072,10,1,45719,4571.9,1928,2,463,17,3,363,10,28,35.10581
6,64,524288,15,2,17144,4571.7334,1906,9,1835,66,14,845,41,102,115.83998
7,128,512,20,3,21437513,4187.014,1077380,0,718,3,0,135,1,6,9.000171
8,256,2048,25,4,7120168,4450.105,27666,0,2941,140,2,1636,47,412,287.61404
9,512,16384,30,5,1096387,4568.2793,8739,0,4895,191,1,2860,44,765,507.03226
10,1024,65536,35,6,314782,4496.8857,1574,5,6797,2084,35,4808,1277,2722,2044.9098
11,2048,1024,40,7,21921625,4281.5674,1883074,0,11758,36,1,2990,11,271,290.24243
12,2048,65536,40,7,698006,8725.075,2045,47,7835,2566,150,6188,1614,3780,2779.472
13,2048,262144,40,7,fail,fail,fail,fail,fail,fail,fail
