TestNumber,JVMMedian,WholeSysMedian
1,200.8,7.7
2,228.7,10.5
3,119.9,5.7
4,116.9,5.8
5,119.8,5.8
6,136.8,6.8
7,319.6,12.9
8,186.8,7.5
9,143.8,6.3
10,147.8,6.7
11,257.7,11.0
12,376.3,19.2
13,177.8,8.7
