TestNumber,JVMMedian,WholeSysMedian
1,200.8,8.6
2,235.7,10.5
3,123.8,5.5
4,109.9,5.7
5,120.8,6.0
6,138.8,6.8
7,317.6,12.4
8,188.8,7.4
9,145.8,6.1
10,146.8,6.1
11,243.7,10.5
12,156.7,7.1
13,232.4,11.2
