TestNumber,NumClients,MessageSize(Bytes),Duration(Sec),LatencyDruation(Sec),MessagesSent,Throughput(MegaBits/Sec),LatencyMessagesSent,MinLatency(MS),MaxLatency(MS),MedianLatency(MS),1PercentileLatency,99PercentileLatency,25PercentileLatency,75PercentileLatency,AverageLatency(MS)
1,2,256,10,1,5549836,1083.9524,141855,0,45,0,0,1,0,1,0.27950373
2,4,1024,10,1,5315717,4152.904,142313,0,47,0,0,1,0,1,0.41476184
3,8,8192,10,1,727812,4548.825,56672,0,220,2,0,12,1,4,2.7406657
4,16,32768,10,1,182659,4566.475,14633,0,246,5,1,60,3,9,8.677373
5,32,131072,10,1,45727,4572.7,2724,3,479,15,4,257,10,24,27.845816
6,64,524288,15,2,17142,4571.2,1720,9,1295,74,18,714,48,118,129.05872
7,128,512,20,3,21423163,4184.212,458689,0,821,2,0,132,1,5,10.182867
8,256,2048,25,4,7131137,4456.9604,23939,0,1829,77,2,1277,36,182,179.22653
9,512,16384,30,5,1077788,4490.783,3812,1,3881,880,15,3127,438,1272,979.1595
10,1024,65536,35,6,312761,4468.014,1491,9,7662,2607,144,5377,1672,3851,2717.393
11,2048,1024,40,7,22459716,4386.663,2469547,0,10255,69,1,2983,14,479,386.60028
12,2048,65536,40,7,367561,4594.5127,5546,1,13971,861,4,3976,308,1522,1036.2018
13,2048,262144,40,7,90623,4531.15,6326,4,15931,828,12,4480,230,2161,1288.1603
