TestNumber,NumClients,MessageSize(Bytes),Duration(Sec),LatencyDruation(Sec),MessagesSent,Throughput(MegaBits/Sec),LatencyMessagesSent,MinLatency(MS),MaxLatency(MS),MedianLatency(MS),1PercentileLatency,99PercentileLatency,25PercentileLatency,75PercentileLatency,AverageLatency(MS),TestNumber,JVMMedian,WholeSysMedian
1,2,65536,10,1,44974,2248.7,2423,1,30,2,1,9,2,3,2.6269088,1,49.9,2.5
2,4,65536,10,1,82866,4143.3,3963,1,61,3,1,8,2,3,2.8569267,2,102.9,4.8
3,8,65536,10,1,91397,4569.85,6295,1,143,4,1,18,2,5,4.739158,3,111.9,5.3
4,16,65536,10,1,91360,4568.0,7443,1,251,6,2,209,4,12,11.748623,4,110.9,5.4
5,32,65536,10,1,91426,4571.3,5561,1,286,11,2,223,6,19,19.002157,5,112.9,5.4
6,64,65536,15,2,137054,4568.467,10225,1,668,23,4,349,14,34,42.05565,6,119.8,5.6
7,128,65536,20,3,182671,4566.775,8359,1,2389,32,2,1158,17,70,103.96614,7,128.8,5.7
8,256,65536,25,4,228380,4567.6,6818,1,3242,42,3,2536,17,234,277.187,8,136.8,6.0
9,512,65536,30,5,262383,4373.05,1278,4,5896,2429,19,4991,1085,3479,2354.6018,9,139.8,6.0
10,1024,65536,35,6,318467,4549.529,1498,2,5441,1574,84,4840,888,2205,1735.2904,10,141.8,6.2
11,2048,65536,40,7,365148,4564.35,5269,2,6578,869,4,4522,49,1664,1125.3982,11,155.7,6.9
