TestNumber,JVMMedian,WholeSysMedian
1,51.9,2.5
2,105.9,5.1
3,112.9,5.8
4,115.9,5.4
5,118.9,6.1
6,122.8,5.6
7,127.8,5.6
8,138.8,6.0
9,143.8,6.1
10,145.8,6.4
11,157.7,6.9
